slug	direct	with_descendants	parent	alias_of	description
sweeper	739	977	removal		_o\ Destroy all the things! See also [spot removal](spot-removal) and [multi removal](multi-removal).
burn-battle	13	929	burn		
death-trigger-self	709	929	death-trigger		Permanents with abilities that trigger when they die.
protects-creature	731	929	protection		Effects that can protect a creature, e.g. with protection,  hexproof, indestructible, etc.
multiple-bodies	421	927			One-shot effects that put two or more creatures onto the battlefield on resolution.
repeatable-sacrifice-outlet	598	923	sacrifice-outlet		Repeatedly sacrifice stuff.
burn-any	915	916	burn-planeswalker		Cards that burn any target: players, creatures, battles, or planeswalkers.
castable-from-nonhand	0	913			
opponent-loses-life	913	913			
symmetrical	795	883			Cards that affect the whole battlefield/all players in symmetrical, equal manner.
group-slug	741	873			Cards that are able to deal damage or otherwise target multiple players at once.
control-changing-effects	0	859			Effects that change control of cards, permanents, and spells.
draft-signpost	0	850			Cards that represent a draft archetype in a given set. Typically designed as ten two-color uncommons (2CUDS).
modal	571	849			Spells which give you your choice from two or more distinct functions.
life-payment	343	826			Cards that cost life to use; not necessarily with the "pay" keyword.
cycle-land	0	813	cycle		All the land cycles. See in particular: [monocolor land cycles](/tags/card/cycle-mono-land), [dual land cycles](/tags/card/cycle-dual-land), and [triland cycles](/tags/card/cycle-triland).
bottomless-mana-sink	801	801	mana-sink		Repeatable effects that, if an arbitrary amount of mana is dumped into them, will probably win you the game—for example, by drawing your whole deck, creating an arbitrarily large attacker, making an endless army of tokens, gaining infinite life, etc.
gives-castable-from-exile	383	774	gives-castable-from-nonhand		Cards that let you cast things from exile.
theft	19	771	control-changing-effects		Effects that let you steal cards and resources from your opponent.
pinger	767	767			Effects that deal just 1-2 damage repeatedly.
tap-fuel-creature	318	758	tap-outlet		Tap a creature to pay for/activate an effect
hand-disruption	15	735			Mess with your opponent's hand.
refund	278	730			Immediately get mana or untapped lands back.
bottom-deck-manipulation	115	717	library-manipulation		
gives-haste	629	717			
scales-with-power	409	702	power-matters		Effects which scale with the power of one or more creatures.
regrowth	36	700	recursion		Effects that return other cards from your graveyard to your hand.
tapper-creature	623	692	tapper		
red-effect	0	685			Effects which are iconically red.
cantrip	681	681	pure-draw		Cards that let you draw a card as they resolve or enter the battlefield.
multi-removal	674	675	removal		Removal for more than one, but less than all.  See also [spot removal](spot-removal) and [sweeper](sweeper).
cards-in-graveyard-matter	225	667			Mechanics that care about the cards in one or more graveyards.
land-ramp	494	661	ramp		Ramp spells that net you more lands on your side of the battlefield.
animate	0	655	type-change		Effects that turn things into creatures.
removal-aura	28	650	removal		
creaturefall	550	648	thingfall		Cards that care about a creature entering the battlefield. Also known as Alliance in New Capenna.
removal-equipment	22	647	removal		
utility-land	581	643			
removal-vehicle	13	638	removal		
removal-battle	12	637	removal		
multiplayer	141	634			Cards that interact with all of the players in the game. They might scale with the number of players or affect the turn order for example.
tutor-to-hand	567	626	tutor-to		Cards that tutor cards to the player's hand.
hate-color	2	614	hate		Color hate for one or more colors. See also [hate-colorless](/tags/card/hate-colorless).
damage-prevention	374	613			
removal-exile	451	610	removal		
removal-toughness	609	610	removal-creature		Removal that can kill creatures by reducing their toughness to 0 or less.
digital-only-mechanics	306	608			Cards with mechanics designed for the digital environment of Magic Arena. Includes Unknown and acorn cards with mechanics equivalent to an existing Arena one.
discard	557	603	hand-disruption		Gets cards out of your opponent's hand and into their graveyard.
impulse	66	603	card-advantage		Look at the top N cards and put 1+ of them into your hand. Not to be confused with Red's pseudo-card-draw effect, [impulsive draw](/tags/card/impulsive-draw).
repeatable-artifact-tokens	184	603	repeatable-token-generator		
burst-draw	585	602	draw		Card draw effects that can net you a bunch of cards at once. As a rule of thumb, to qualify for this tag, the card should let you draw at least three cards at a time and come out ahead by at least +1.
synergy-instant	474	589			
martyr	545	588	sacrifice-self		Creatures that sacrifice themselves for benefit.
synergy-sorcery	473	587			
activate-from-hand	530	586	activated-ability		Activated abilities that can be activated from your hand.
discount-self	208	585	cheaper-than-mv		Cards that have a way to reduce their own cost
remove-counters-you	44	579	remove-counters		Remove counters from your permanents or yourself.
anthem	575	575			Your entire team gets +N/+N. Possibly limited to creature types or colors.
type-addition-human	573	573	type-errata-addition		Creatures that weren't previously a human and just identified by their job, despite being a human, and then gained that type.  Creatures that had a strange type line from before standardisation, then jumped straight to being human aren't counted in this
lands-matter	80	563			
counterspell	97	560	blue-effect		Spells that counter stuff. See child tags for variants on the behaviour; notably [counterspell-soft](/tags/card/counterspell-soft) which gives the opponent a buyout cost.
reanimate-creature	559	559	recursion-creature		Return creature cards currently in the graveyard to the battlefield. Not to be confused with [cheat death](/tags/card/cheat-death), which interacts right as the creature dies.
unexile	12	556			
cast-on-resolution	403	551			Spells and abilities that let you cast spells as part of their resolution.
gives-trample	463	544			
adds-multiple-mana	529	539			Cards that net you more than one mana at a time.
inverted-effects	71	537			
removal-land	301	529	removal		
untapper-creature	452	528	untapper		
potentially-black-border	522	522			Cards not intended for constructed play that could have been printed in a vintage/commander legal product instead if they were printed today.
punny-name	518	518	card-names		Names that are puns or otherwise a play on words
keyword-anthem	514	514			Give your entire team a keyword.
name-matters	201	510			Effects that care about card names: different names, same name, specific name, etc.
tutor-to-battlefield	177	510	tutor-to		Cards that tutor something out of the library and straight onto the battlefield.
tapland	60	507			Non-basic lands which come into play tapped
enters-in-company	506	506	multiple-bodies		Creatures that come with more creatures attached on ETB without reanimating them.
castable-from-exile	442	505	unexile		Cards you can cast or access from exile.
out-of-color-token	505	505			Cards which create tokens which are one or more colours the original card isn't.
indefinite-effect	1	501			Effects that last forever, sometimes tracked, sometimes untracked.
gives-flying	463	496	gives-evasion		
scry	471	494	peek-library		See also [scry-like](scry-like) for effects that are like scry, but don't use the keyword.
dnd	0	490			Cards made to reference mechanical parts of the Dungeons and Dragons TTRPG.
untracked-indefinite-effect	328	488	indefinite-effect		Effects that last forever but aren't tracked by anything. For these purposes we're not counting ETB clones.
characteristic-defining-ability	0	485			Cards that have an ability that define something about it that would normally be found somewhere else on the card. Speicifcally, CDAs set color, types, subtypes, power, and/or toughness.
mill-opponent	195	481	mill		
graveyard-fuel	182	476			Cards that require exiling other cards in graveyard as a cost for abilities and effects.
per-player	445	474	multiplayer		Effects that scale positively with the number of players; i. e., "for each player", "for each opponent", etc.
repeatable-noncreature-tokens	48	472	repeatable-token-generator		Repeatable ways to create noncreature tokens
pp-counters-matter	351	460	counters-matter		
mana-dork	456	457	mana-producer		Creatures which can repeatedly generate mana
removal-sacrifice	362	456	removal		
hate-blocker	365	455	hate		
removal-bounce	345	444	removal		
cycle-dual-land	0	438	dual-land		Dual land cycles. See also [dual land](https://tagger.scryfall.com/tags/card/dual-land) for non-cycle dual lands.
loot	118	438	discard-outlet		Draw a card, then discard a card. Mainly blue. See also [rummage](/tags/card/rummage), the red version, which discards then draws.
drain-life	393	435	lifegain		Hurt your opponent and gain life to match.
group-hug	190	435			Cards that can be used to benefit other players, including opponents, usually by giving them resources
hate-graveyard	300	435	hate		
tutor-land-basic	350	432	tutor-land		Cards that tutor basic land cards.
un-design	0	431			Features characteristic of and unique to the world of un-sets.
un-set-mechanics	2	425	un-design		Card tags showing mechanics that (at least nowadays) only show up in un-sets.
free-cast-another	423	423	cost-ignorer		Cast other things without paying their mana cost.
block-trigger	421	421	triggered-ability		Effects that trigger on a creature blocking or becoming blocked.
castable-from-graveyard	408	408	castable-from-nonhand		Cards you can cast or access from the graveyard.
animate-self	116	400	animate		Noncreatures that can become creatures. For creatures that can stop being creatures, see [deanimate self](deanimate-self).
copy-creature	362	400	copy		
removal-nonland	400	400	removal-vehicle		
mana-rock	108	396	mana-producer		Noncreature artifacts that net increase your mana.
cost-reducer	114	384			Cards that make other spells cost less. (Does not apply to effects that reduce a spell's own cost, like delve.)
unique-token	382	382			This token is created by only one card.
scales-with-mana-value	381	381	mana-value-matters		
fun-ruling	378	378			Cards with rulings where the rules manager is having fun with us. Not necessarily laugh-out-loud funny.
egg	328	375	sacrifice-self		Artifacts that have to be sacrificed to do something.
self-replacement-effect	374	374			A resolving spell or ability partially or completely replacing one of its own effects.
hate-attacker	372	372	hate		
curiosity-like	91	370	saboteur		Cards that can give you some form of card advantage upon dealing damage, usually combat damage, to a player.
deprecated-mechanics	0	369			Mechanics that have been deprecated by newer developments.
sacrifice-outlet-artifact	292	365	sacrifice-outlet		
activate-from-graveyard	194	353	activated-ability		Abilities that can be activated from inside a graveyard.
mini-refund	351	351	refund		Immediately gives you a small amount of mana or untapped lands back (typically no more than about one-third of the mana cost you paid)
typal-coupling	181	351			Cards that care about two or more different creature types.
regrowth-creature	338	345	regrowth		
aesthetic-counter	311	343			Counters that have no rules meaning, just aesthetic.
offcolor-ability	338	338			Abilities with a mana cost outside the card's colors.
creature-count-matters	221	335			
tutor-land-to-battlefield	276	333	tutor-to-battlefield		
unique-mana-cost	326	326			This card's mana cost isn't found on any other card.
force-draw	325	325			Force an opponent to draw cards, whether they like it or not. The lesser used mode on Ancestral Recall.
life-for-cards	296	324	life-payment		Get cards in exchange for your life (damage causes loss of life).
surveil	316	322	peek-library		Cards that let you look at the top # cards of your library and put some into the graveyard.
hate-target	59	321	hate		Cards that make it harder for your opponents to target your stuff or punish them for doing so.
prevent-blocker	249	321			
synergy-noncreature	310	319			
copy-self	313	318	copy		Cards that make a copy of themselves
cheat-death	116	317			Return a creature or permanent to the battlefield or to your hand at the moment it dies.
gains-flying	316	316	evasion		
tap-fuel-power	116	316	tap-fuel-creature		
power-matters-self	302	314	power-matters		
enlarge	313	313			Effects that give a creature +N/+M. These values should be significant—usually at least +3/+3 or better, roundabouts.
reflexive-trigger	312	313	triggered-ability		An ability that triggers based on actions taken earlier during a spell or ability's resolution.
giant-growth	172	308	combat-trick		Combat tricks that give a creature +N/+N. See also [Enlarge](enlarge).
bear-with-set-s-mechanic	298	298	staple-with-set-s-mechanic		A 2/2 for 2 with one of the set's iconic mechanics
hand-size-matters	111	298			
shade-pump	298	298			Effects that give an arbitrary amount of +1/+1 until end of turn. See also [firebreathing](firebeathing) in red and [armoring](armoring) in white.
sneak	14	298	cost-ignorer		Put a permanent from your hand onto the battlefield. (With or without a requirement to sacrifice it later.) Not related to the Sneak keyword first seen in TMT.
firebreathing	295	295			Give a creature +X/+0 until end of turn via an activated ability.
landfall	237	295	thingfall		Cards which reward you for playing lands.
hate-typal	0	294	hate		Hates out one or more creature types.
rummage	119	292	red-effect		Discard a card, then draw a card. Mainly red. See also [loot](/tags/card/loot), the blue version, which draws then discards.
front-card	291	291			
sacrifice-outlet-land	238	291	sacrifice-outlet		
gives-first-strike	288	288			
gives-vigilance	288	288			See also [untapper-creature](untapper-creature).
synergy-legendary	198	287			
gives-indestructible	285	285	protection		
gains-haste	279	282			
impulsive-draw	31	281	red-effect		Cards which let you cast a card for a limited time off the top of a library (via exile). Use it or lose it. Typically a red card advantage mechanic. See also [impulsive mill](impulsive-mill). For the effect seen on the [card Impulse](/card/vis/34), see the [tag impulse](impulse).
protects-all	279	279	protection		Effects that give a form of protection to all permanents of a kind. (That may be hexproof, indestructible, protection, etc.)
burn-with-set-s-mechanic	278	278	staple-with-set-s-mechanic		Burn spells that have the mechanic of the set they debuted in.
rescue-creature	158	276	rescue		
hate-set-mechanic	273	274	hate		Cards that "hate" on one or more mechanics in the set they were printed in.
reanimate-self	273	273	recursion-self		These cards can return themselves to the battlefield if they're sitting in the graveyard. Not to be confused with [cheat death-self](cheat-death-self), where the card returns immediately after dying.
burn-you	140	272			Sometimes your own cards hurt you the most.
rhystic	266	266	tax		Effects that opponents can buy off if they pay mana.
synergy-enchantment	153	261			
shapechange	256	259			Set creatures' power/toughness, not necessarily a nerf. See also [humble](/tags/card/humble).
deprecated-card-types	0	257			Cards featuring deprecated card types in some of their prints.
quick-equip	104	256	quick-attach		Non-Equip abilities that attach equipment.
synergy-equipment	189	256			
curiosity	255	255	curiosity-like		Draw cards when dealing damage to an opponent
color-change	162	253			
restricted-mana	197	253			Mana that has restrictions on what you can or cannot use it on.
cast-trigger-self	252	252	cast-trigger		Cards that have a trigger when they are cast
cda-power	252	252	characteristic-defining-ability		Creatures that have their power determined by a characteristic-defining ability.
repeatable-loot	251	251	loot		
disenchant-naturalize	179	247	removal-enchantment		Cards that remove artifacts and/or enchantments.
pair-commander	247	247			These cards can be one half of a two-card pair of commanders
utility-mana-rock	244	244	mana-rock		Mana rocks that do extra things.
leaves-battlefield-trigger	68	243	triggered-ability		Cards that trigger on something leaving the battlefield. See also [death trigger](death-trigger).
lifegain-matters	124	242			
cycle-mono-land	0	239	cycle-land		Monocolor land cycles.
peek-hand	85	239	peek		Take a quick look at a players hand
ditch-hand	144	238			Cards that let you get rid of your current hand in some way or other.
sweeper-one-sided	238	238	sweeper		Sweepers that are, or have high potential to be, one-sided.
synergy-token	108	238			
theft-creature	238	238	theft		
consult	36	235	card-advantage		Dig through your library until you find a card meeting some criteria.
restock	0	235	recursion		Effects that return cards from the graveyard to the library. (Named in Maro's color pie 2017 article.)
unnoted-tracked-information	235	235			Spells or abilities that require tracking events without explicitly noting them. See also [noted tracked information](noted-tracked-information).
gives-mm-counters	186	234			Cards that give -1/-1 counters.
gives-lifelink	233	233	lifegain		
type-addition-phyrexian	231	231	type-errata-addition		Gained the Phyrexian type, either after it was introduced with the big sweep at Modern Horizons 2 launch, or at a later date.
upkeep-cost	231	231			Cards that ask you to pay some kind of cost on your upkeep step.
low-mana-value-matters	230	230	mana-value-matters		Effects that care about your things with mana value below some boundary value, usually 2 to 4.
repeatable-impulse	173	230	repeatable-card-advantage		
mana-filter	133	227			Convert mana to other colors.
creates-bigger-body	224	224			Creature cards that generate additional creatures beefier than themselves. (Typically this means having a higher total power and toughness than the original creature.)
mana-spent-matters	19	224			Effects that care about the amount, type, and/or qualities of mana spent to do a thing.
tuck	11	224			Effects that put a spell or permanent into its owner's library.
dilemma	0	223			Effects that give you two equally bad choices. Not to be confused with the action of "Dilemma".
selective-group-hug	221	221	group-hug		Group Hug cards that benefit only certain opponents in particular.
bounce-self	183	220	bounce		
synergy-planeswalker	150	219			
ward	166	219	triggered-ability		Collection tag for the Ward keyword. Should be 1:1 with kw:ward.
plunder	81	218	sacrifice-outlet		Sacrifice something else to draw cards.
toughness-matters	143	218			Other than in, you know, the usual way.
type-errata-genericise	0	218	type-errata		Sets of cards that were moved away from their creature type name to a more generic one, to allow them to work in typal decks better.  Cephalids, Naga and Viashino live in our hearts forever.
manaless-value	205	214			Cards that can provide some amount of value without untapped lands.
discard-matters	12	213			
repeatable-treasures	213	213	repeatable-noncreature-tokens		
synergy-white	213	213			
temporary-token	213	213			
synergy-blocker-self	168	212			
removal-permanent	211	211	removal-vehicle		
combat-ramp	160	210	ramp		Generate mana/more lands by attacking and/or dealing combat damage
hate-flying	140	210	hate		
virtual-legendary	210	210	card-names		This card represents a one-of-a-kind creature or object (and is named accordingly), and could conceivably have been legendary. Usually cards are in this category because they were printed before legendary existed or have a mechanical need to not be legendary.
copy-spell	153	209	copy		Make a copy of a spell on the stack.
toll	192	209	tax		Generate resources from your opponent's actions without them being able to pay it off.
tutor-creature	99	209	tutor		Cards that tutor creature cards.
dnd-character	208	208	dnd		Cards that represent Dungeons and Dragons characters: name, rules text, etc. See also the [dungeons and dragons](/tags/artwork/dungeons-and-dragons) art tag.
face-up-face-down-effects	13	208			
flicker	1	208			Exile a card then return it to the battlefield (now or soon).
freeze	0	208			A permanent doesn't untap during its next N untap steps. For effects that prevent untapping indefinitely, see [lockdown](lockdown).
sneak-from-library	18	208	cost-ignorer		
theft-cast	208	208	theft		
green-effect	0	206			Effects which are iconically green
unblockable	205	205	evasion		
deprecated-legend-type	204	204	type-errata		These cards were originally printed with the Legend creature type. Their type line read “Summon Legend” or “Creature — Legend”.
discard-with-set-s-mechanic	204	204	staple-with-set-s-mechanic		
hate-artifact	198	204	hate		
non-mana-ability-mana	198	203			Abilities that produce mana, but aren't mana abilities (as defined by CR 605.1)
gives-pp-counters-to-all	201	201	toughness-boost-to-all		Put +1/+1 counters on all of your creatures.
synergy-aura	137	201			
crew	200	200	animate-self		Compilation tag for the Crew keyword. Should be 1:1 with [kw:crew](https://scryfall.com/search?q=kw%3Acrew).
power-matters-individual	42	199	power-matters		Effects which care about the power of one creature (or multiple creatures individually, as opposed to as a total).
poison-mechanics	11	198			Cards and effects that interact with poison counters by name.
regrowth-self	198	198	recursion-self		Cards that can return themselves from the graveyard to the hand.
dice-roll	0	197			Cards that make you roll dice. For things that like or help when you roll dice, see [Synergy Dice](synergy-dice)
synergy-green	197	197			
conjure	0	195	digital-only-mechanics		Create a non-token card out of thin air. One of MTGA's main digital mechanics.
gives-unblockable	165	195	gives-evasion		
synergy-commander	195	195			
graveyard-fuel-self	34	193	exile-self		
hate-high-pt	166	193	hate		Cards that specifically hate on cards with high power or toughness, typically at least 3-4.
free-sacrifice-outlet	192	192	repeatable-sacrifice-outlet		Ways to sacrifice a permanent repeatedly that require no additional cost.
impulse-creature	152	192	impulse		
cda-toughness	191	191	characteristic-defining-ability		Creatures whose toughness is determined via a characteristic-defining ability.
jump	191	191			A creature gains flying until end of turn.
mill-any	191	191	mill-self		Cards that let you choose a library to mill. Could be yours, could be theirs. It could also be an indirect choice, e.g. milling the controller of a targeted permanent.
synergy-target	11	191			
freeze-creature	188	188	freeze		Prevent a creature from untapping for its next N untaps. For effects that prevent untapping indefinitely, see [lockdown](lockdown-creature).
donate-token	187	187			Effects that can create tokens under an opponents control.
gives-deathtouch	187	187			
synergy-red	187	187			
draw-matters	108	185			
gives-menace	184	184	gives-evasion		
repeatable-impulsive-draw	177	184	impulsive-draw		
paper-compatible	182	182			Online-only cards that would work if printed in paper, albeit annoying to track or execute at times
synergy-black	182	182			
graveyard-fuel-creature	181	181	graveyard-fuel		Exiles creatures from the graveyard for value
regenerates-self	178	178			Cards with effects that regenerate themselves.
mulch	120	177	mill-self		An effect that filters cards at the top of the library, putting remainders into the graveyard.
aikido	176	176			Effects that turn your opponent's strength against them.
self-discard-matters	113	176	discard-matters		Cards that reward you for tossing your own hand into the graveyard. For cards that reward you for having a small hand, see [hellbent](hellbent) and [heckbent](heckbent).
untapper-land	100	176	untapper		
extra-land	36	175	ramp		Effects that allow you to put additional lands from your hand, top of the library, or graveyard onto the battlefield outside of your normal once-per-turn land play. For effects that let you search your library for cards, refer to [tutor land](/tags/card/tutor-land).
leaves-trigger-self	160	175	leaves-battlefield-trigger		Permanents with abilities that trigger when they leave the battlefield.
titan-trigger	174	174	attack-trigger		An ability that triggers on both entering the battlefield and attacking, similar to the Titan cycle from M11
untaps-self	174	174	untapper		
punisher	139	172	dilemma		Effects that give you a choice of two damnations.
force-attacker	170	170	combat-manipulation		
one-sided-fight	170	170	burn-creature		A creature deals damage equal to its power to another. Like Fight, but without the chance to fight back. See also [fling](/tags/card/fling) which involves sacrificing the creature.
conditional-tapland	19	169			Lands that will enter the battlefield tapped or untapped depending on certain conditions.
prevent-attack	151	169			
counterspell-with-set-mechanic	168	168	staple-with-set-s-mechanic		
synergy-blue	168	168			
multi-land-ramp	167	167	land-ramp		Land ramp that (potentially) nets two or more lands on your side of the battlefield
vanity-card	166	166			Cards named after specific people or real things
alt-commander	32	165			Legendary creatures printed as backup commanders in preconstructed decks, with the same color identity as the face commander.
gives-hexproof	165	165	protection		
leaves-body-behind	102	165	death-trigger-self		Creatures that create one or more creature bodies when they die.
flicker-creature	135	164	flicker		
face-commander	18	163			A card that is the primary, marquee legendary creature featured on the packaging of a pre-constructed Commander deck. It sets the main mechanical theme and color identity of the deck.
hate-tapped	155	163	hate		
damage-prevention-creature	162	162	protects-creature		
life-loss-matters	124	162			
synergy-color-share	49	161			
type-addition-from-none	161	161	type-errata-addition		Some creatures (Commonly artifact creatures) prior to the Grand Creature Type update were printed without Creature Types.
copy-instant	160	160	copy		
damage-prevention-you	160	160			
gains-first-strike	160	160			
banish	111	159	removal-exile		Exile things as long as this permanent remains.
mix-and-match	159	159			Two or more non-evergreen mechanics blended together on the same card.
opponent-chooses	107	159			
renew	159	159	graveyard-fuel-self		Exile this card from your graveyard: Do a thing. Doesn't need to be the specific Renew keyword, just cards that have an ability to exile themselves in the graveyard.
animate-land	107	158	animate		Cards that can turn other noncreature lands into creatures.
color-break	157	158			Cards known to break the modern color pie, granting a color access to something it shouldn't be able to do.
hate-counterspell	125	158	hate		
mill-exile	121	158	mill		Exile cards from the top of a library.
rhyming-name	158	158	card-names		Cards whose names contain a rhyme, or come very close to it.
tome	158	158	card-advantage		Providing incremental card advantage over time (usually by tapping to draw cards, although there are variants that [tutor](tutor), [impulsive draw](impulsive-draw), etc.) has been a staple effect for noncreature artifacts since the printing of Jayemdae Tome in Alpha.
vertical-cycle	0	158	cycle		Cycles where the cards are in different states of progressions, usually by increasing costs, effects, and/or colors.
faux-targeting	156	156			Things that have to choose "targets", but don't actually *target*, meaning this bypasses keywords such as hexproof, protection, and shroud.
